LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,Location 1
10802,ALBANY,GUILDERLAND CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,103,12.60%,113,13.80%,216,26.40%,ELEMENTARY,SCHOOL DISTRICT,8 SCHOOL RD,GUILDERLAND CENTER,NY,12085,"8 SCHOOL RD
GUILDERLAND CENTER, NY 12085
(42.70288977200045, -73.96575979499966)"
10802,ALBANY,GUILDERLAND CENTRAL SCHOOL DISTRICT,NORTHEASTERN NEW YORK,2012-2013,89,13.60%,80,12.20%,169,25.80%,MIDDLE/HIGH,SCHOOL DISTRICT,8 SCHOOL RD,GUILDERLAND CENTER,NY,12085,"8 SCHOOL RD
GUILDERLAND CENTER, NY 12085
(42.70288977200045, -73.96575979499966)"
20101,ALLEGANY,ALFRED ALMOND CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,35,21.10%,25,15.10%,60,36.10%,DISTRICT TOTAL,SCHOOL DISTRICT,6795 RT 21,ALMOND,NY,14804,"6795 RT 21
ALMOND, NY 14804
(42.295582036000496, -77.74865778099968)"
20101,ALLEGANY,ALFRED ALMOND CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,21,21.90%,9,9.40%,30,31.30%,ELEMENTARY,SCHOOL DISTRICT,6795 RT 21,ALMOND,NY,14804,"6795 RT 21
ALMOND, NY 14804
(42.295582036000496, -77.74865778099968)"
20101,ALLEGANY,ALFRED ALMOND CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,14,20.90%,13,19.40%,27,40.30%,MIDDLE/HIGH,SCHOOL DISTRICT,6795 RT 21,ALMOND,NY,14804,"6795 RT 21
ALMOND, NY 14804
(42.295582036000496, -77.74865778099968)"
21102,ALLEGANY,CANASERAGA CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,7,14.30%,15,30.60%,22,44.90%,DISTRICT TOTAL,SCHOOL DISTRICT,4-8 MAIN ST,CANASERAGA,NY,14822,"4-8 MAIN ST
CANASERAGA, NY 14822
(42.46130666300047, -77.77724128399967)"
21102,ALLEGANY,CANASERAGA CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,,,,,,,ELEMENTARY,SCHOOL DISTRICT,4-8 MAIN ST,CANASERAGA,NY,14822,"4-8 MAIN ST
CANASERAGA, NY 14822
(42.46130666300047, -77.77724128399967)"
21102,ALLEGANY,CANASERAGA CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,,,5,38.50%,5,38.50%,MIDDLE/HIGH,SCHOOL DISTRICT,4-8 MAIN ST,CANASERAGA,NY,14822,"4-8 MAIN ST
CANASERAGA, NY 14822
(42.46130666300047, -77.77724128399967)"
21601,ALLEGANY,FRIENDSHIP CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,27,17.50%,29,18.80%,56,36.40%,DISTRICT TOTAL,SCHOOL DISTRICT,46 W MAIN ST,FRIENDSHIP,NY,14739,"46 W MAIN ST
FRIENDSHIP, NY 14739
(42.20662787600048, -78.13679789099967)"
21601,ALLEGANY,FRIENDSHIP CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,24,21.40%,15,13.40%,39,34.80%,ELEMENTARY,SCHOOL DISTRICT,46 W MAIN ST,FRIENDSHIP,NY,14739,"46 W MAIN ST
FRIENDSHIP, NY 14739
(42.20662787600048, -78.13679789099967)"
21601,ALLEGANY,FRIENDSHIP CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,,,5,19.20%,5,19.20%,MIDDLE/HIGH,SCHOOL DISTRICT,46 W MAIN ST,FRIENDSHIP,NY,14739,"46 W MAIN ST
FRIENDSHIP, NY 14739
(42.20662787600048, -78.13679789099967)"
22101,ALLEGANY,WHITESVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,16,20.80%,14,18.20%,30,39%,DISTRICT TOTAL,SCHOOL DISTRICT,692 MAIN ST,WHITESVILLE,NY,14897,"692 MAIN ST
WHITESVILLE, NY 14897
(42.0380025820005, -77.77813984099964)"
22101,ALLEGANY,WHITESVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,8,22.20%,5,13.90%,13,36.10%,ELEMENTARY,SCHOOL DISTRICT,692 MAIN ST,WHITESVILLE,NY,14897,"692 MAIN ST
WHITESVILLE, NY 14897
(42.0380025820005, -77.77813984099964)"
22101,ALLEGANY,WHITESVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,8,33.30%,,,8,33.30%,MIDDLE/HIGH,SCHOOL DISTRICT,692 MAIN ST,WHITESVILLE,NY,14897,"692 MAIN ST
WHITESVILLE, NY 14897
(42.0380025820005, -77.77813984099964)"
22601,ALLEGANY,WELLSVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,72,16.30%,84,19%,156,35.40%,DISTRICT TOTAL,SCHOOL DISTRICT,126 WEST STATE ST,WELLSVILLE,NY,14895,"126 WEST STATE ST
WELLSVILLE, NY 14895
(42.11828619400046, -77.94846920899965)"
22601,ALLEGANY,WELLSVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,43,15.80%,44,16.10%,87,31.90%,ELEMENTARY,SCHOOL DISTRICT,126 WEST STATE ST,WELLSVILLE,NY,14895,"126 WEST STATE ST
WELLSVILLE, NY 14895
(42.11828619400046, -77.94846920899965)"
22601,ALLEGANY,WELLSVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,29,18%,40,24.80%,69,42.90%,MIDDLE/HIGH,SCHOOL DISTRICT,126 WEST STATE ST,WELLSVILLE,NY,14895,"126 WEST STATE ST
WELLSVILLE, NY 14895
(42.11828619400046, -77.94846920899965)"
22902,ALLEGANY,BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,59,16.60%,52,14.60%,111,31.30%,DISTRICT TOTAL,SCHOOL DISTRICT,100 SCHOOL ST,BOLIVAR,NY,14715,"100 SCHOOL ST
BOLIVAR, NY 14715
(42.0653111900005, -78.16079326599964)"
22902,ALLEGANY,BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,26,11.60%,31,13.80%,57,25.40%,ELEMENTARY,SCHOOL DISTRICT,100 SCHOOL ST,BOLIVAR,NY,14715,"100 SCHOOL ST
BOLIVAR, NY 14715
(42.0653111900005, -78.16079326599964)"
22902,ALLEGANY,BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,33,25.60%,19,14.70%,52,40.30%,MIDDLE/HIGH,SCHOOL DISTRICT,100 SCHOOL ST,BOLIVAR,NY,14715,"100 SCHOOL ST
BOLIVAR, NY 14715
(42.0653111900005, -78.16079326599964)"
30101,BROOME,CHENANGO FORKS CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,83,14.30%,116,20%,199,34.40%,DISTRICT TOTAL,SCHOOL DISTRICT,1 GORDON DR,BINGHAMTON,NY,13901,"1 GORDON DR
BINGHAMTON, NY 13901
(42.192475309000486, -75.85312108799963)"
30101,BROOME,CHENANGO FORKS CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,51,15%,61,17.90%,112,32.80%,ELEMENTARY,SCHOOL DISTRICT,1 GORDON DR,BINGHAMTON,NY,13901,"1 GORDON DR
BINGHAMTON, NY 13901
(42.192475309000486, -75.85312108799963)"
30101,BROOME,CHENANGO FORKS CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,32,13.80%,55,23.70%,87,37.50%,MIDDLE/HIGH,SCHOOL DISTRICT,1 GORDON DR,BINGHAMTON,NY,13901,"1 GORDON DR
BINGHAMTON, NY 13901
(42.192475309000486, -75.85312108799963)"
30200,BROOME,BINGHAMTON CITY SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,383,19.60%,440,22.50%,823,42.10%,DISTRICT TOTAL,SCHOOL DISTRICT,164 HAWLEY ST,BINGHAMTON,NY,13901,"164 HAWLEY ST
BINGHAMTON, NY 13901
(42.09891632400047, -75.90398164499965)"
30200,BROOME,BINGHAMTON CITY SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,254,20.50%,264,21.30%,518,41.80%,ELEMENTARY,SCHOOL DISTRICT,164 HAWLEY ST,BINGHAMTON,NY,13901,"164 HAWLEY ST
BINGHAMTON, NY 13901
(42.09891632400047, -75.90398164499965)"
30200,BROOME,BINGHAMTON CITY SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,129,18.10%,176,24.60%,305,42.70%,MIDDLE/HIGH,SCHOOL DISTRICT,164 HAWLEY ST,BINGHAMTON,NY,13901,"164 HAWLEY ST
BINGHAMTON, NY 13901
(42.09891632400047, -75.90398164499965)"
30501,BROOME,HARPURSVILLE CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,72,20.80%,79,22.80%,151,43.60%,DISTRICT TOTAL,SCHOOL DISTRICT,54 MAIN ST,HARPURSVILLE,NY,13787,"54 MAIN ST
HARPURSVILLE, NY 13787
(42.18177116200047, -75.62249272599968)"
30501,BROOME,HARPURSVILLE CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,51,24.50%,42,20.20%,93,44.70%,ELEMENTARY,SCHOOL DISTRICT,54 MAIN ST,HARPURSVILLE,NY,13787,"54 MAIN ST
HARPURSVILLE, NY 13787
(42.18177116200047, -75.62249272599968)"
30501,BROOME,HARPURSVILLE CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,21,15.20%,37,26.80%,58,42%,MIDDLE/HIGH,SCHOOL DISTRICT,54 MAIN ST,HARPURSVILLE,NY,13787,"54 MAIN ST
HARPURSVILLE, NY 13787
(42.18177116200047, -75.62249272599968)"
30601,BROOME,SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,85,16.60%,97,19%,182,35.60%,DISTRICT TOTAL,SCHOOL DISTRICT,1040 CONKLIN RD,CONKLIN,NY,13748,"1040 CONKLIN RD
CONKLIN, NY 13748
(42.077514462000465, -75.82226352699968)"
30601,BROOME,SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,46,15.60%,51,17.30%,97,33%,ELEMENTARY,SCHOOL DISTRICT,1040 CONKLIN RD,CONKLIN,NY,13748,"1040 CONKLIN RD
CONKLIN, NY 13748
(42.077514462000465, -75.82226352699968)"
30601,BROOME,SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,39,18.10%,46,21.30%,85,39.40%,MIDDLE/HIGH,SCHOOL DISTRICT,1040 CONKLIN RD,CONKLIN,NY,13748,"1040 CONKLIN RD
CONKLIN, NY 13748
(42.077514462000465, -75.82226352699968)"
30701,BROOME,CHENANGO VALLEY CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,88,15.10%,114,19.50%,202,34.60%,DISTRICT TOTAL,SCHOOL DISTRICT,221 CHENANGO BRIDGE RD,BINGHAMTON,NY,13901,"221 CHENANGO BRIDGE RD
BINGHAMTON, NY 13901
(42.16297744500048, -75.87400703899965)"
30701,BROOME,CHENANGO VALLEY CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,46,13.90%,56,16.90%,102,30.70%,ELEMENTARY,SCHOOL DISTRICT,221 CHENANGO BRIDGE RD,BINGHAMTON,NY,13901,"221 CHENANGO BRIDGE RD
BINGHAMTON, NY 13901
(42.16297744500048, -75.87400703899965)"
30701,BROOME,CHENANGO VALLEY CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,42,17%,58,23.50%,100,40.50%,MIDDLE/HIGH,SCHOOL DISTRICT,221 CHENANGO BRIDGE RD,BINGHAMTON,NY,13901,"221 CHENANGO BRIDGE RD
BINGHAMTON, NY 13901
(42.16297744500048, -75.87400703899965)"
31701,BROOME,WINDSOR CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,98,15.20%,126,19.60%,224,34.80%,DISTRICT TOTAL,SCHOOL DISTRICT,1191 NY RT 79,WINDSOR,NY,13865,"1191 NY RT 79
WINDSOR, NY 13865
(42.066694500000494, -75.64087079899963)"
31701,BROOME,WINDSOR CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,54,13.90%,65,16.70%,119,30.60%,ELEMENTARY,SCHOOL DISTRICT,1191 NY RT 79,WINDSOR,NY,13865,"1191 NY RT 79
WINDSOR, NY 13865
(42.066694500000494, -75.64087079899963)"
31701,BROOME,WINDSOR CENTRAL SCHOOL DISTRICT,NEW YORK - PENN,2012-2013,44,17.50%,61,24.20%,105,41.70%,MIDDLE/HIGH,SCHOOL DISTRICT,1191 NY RT 79,WINDSOR,NY,13865,"1191 NY RT 79
WINDSOR, NY 13865
(42.066694500000494, -75.64087079899963)"
40302,CATTARAUGUS,ALLEGANY-LIMESTONE CSD,WESTERN NEW YORK,2012-2013,94,16.80%,91,16.30%,185,33.10%,DISTRICT TOTAL,SCHOOL DISTRICT,3131 FIVE MILE RD,ALLEGANY,NY,14706,"3131 FIVE MILE RD
ALLEGANY, NY 14706
(42.13191307900047, -78.50214638299968)"
40302,CATTARAUGUS,ALLEGANY-LIMESTONE CSD,WESTERN NEW YORK,2012-2013,69,17.40%,56,14.10%,125,31.60%,ELEMENTARY,SCHOOL DISTRICT,3131 FIVE MILE RD,ALLEGANY,NY,14706,"3131 FIVE MILE RD
ALLEGANY, NY 14706
(42.13191307900047, -78.50214638299968)"
40302,CATTARAUGUS,ALLEGANY-LIMESTONE CSD,WESTERN NEW YORK,2012-2013,25,15.30%,35,21.50%,60,36.80%,MIDDLE/HIGH,SCHOOL DISTRICT,3131 FIVE MILE RD,ALLEGANY,NY,14706,"3131 FIVE MILE RD
ALLEGANY, NY 14706
(42.13191307900047, -78.50214638299968)"
40901,CATTARAUGUS,ELLICOTTVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,49,21.20%,40,17.30%,89,38.50%,DISTRICT TOTAL,SCHOOL DISTRICT,5873 RT 219,ELLICOTTVILLE,NY,14731,"5873 RT 219
ELLICOTTVILLE, NY 14731
(42.25483735100045, -78.65117214199967)"
40901,CATTARAUGUS,ELLICOTTVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,30,20.30%,23,15.50%,53,35.80%,ELEMENTARY,SCHOOL DISTRICT,5873 RT 219,ELLICOTTVILLE,NY,14731,"5873 RT 219
ELLICOTTVILLE, NY 14731
(42.25483735100045, -78.65117214199967)"
40901,CATTARAUGUS,ELLICOTTVILLE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,15,19.50%,15,19.50%,30,39%,MIDDLE/HIGH,SCHOOL DISTRICT,5873 RT 219,ELLICOTTVILLE,NY,14731,"5873 RT 219
ELLICOTTVILLE, NY 14731
(42.25483735100045, -78.65117214199967)"
41401,CATTARAUGUS,HINSDALE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,38,19.50%,33,16.90%,71,36.40%,DISTRICT TOTAL,SCHOOL DISTRICT,3701 MAIN ST,HINSDALE,NY,14743,"3701 MAIN ST
HINSDALE, NY 14743
(42.1611510780005, -78.39449791099963)"
41401,CATTARAUGUS,HINSDALE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,24,17%,19,13.50%,43,30.50%,ELEMENTARY,SCHOOL DISTRICT,3701 MAIN ST,HINSDALE,NY,14743,"3701 MAIN ST
HINSDALE, NY 14743
(42.1611510780005, -78.39449791099963)"
41401,CATTARAUGUS,HINSDALE CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,10,21.70%,14,30.40%,24,52.20%,MIDDLE/HIGH,SCHOOL DISTRICT,3701 MAIN ST,HINSDALE,NY,14743,"3701 MAIN ST
HINSDALE, NY 14743
(42.1611510780005, -78.39449791099963)"
42400,CATTARAUGUS,OLEAN CITY SCHOOLS,WESTERN NEW YORK,2012-2013,153,19.60%,154,19.80%,307,39.40%,DISTRICT TOTAL,SCHOOL DISTRICT,410 W SULLIVAN ST,OLEAN,NY,14760,"410 W SULLIVAN ST
OLEAN, NY 14760
(42.08150766400047, -78.43457081599968)"
42400,CATTARAUGUS,OLEAN CITY SCHOOLS,WESTERN NEW YORK,2012-2013,87,19.40%,85,18.90%,172,38.30%,ELEMENTARY,SCHOOL DISTRICT,410 W SULLIVAN ST,OLEAN,NY,14760,"410 W SULLIVAN ST
OLEAN, NY 14760
(42.08150766400047, -78.43457081599968)"
42400,CATTARAUGUS,OLEAN CITY SCHOOLS,WESTERN NEW YORK,2012-2013,66,20%,69,20.90%,135,40.90%,MIDDLE/HIGH,SCHOOL DISTRICT,410 W SULLIVAN ST,OLEAN,NY,14760,"410 W SULLIVAN ST
OLEAN, NY 14760
(42.08150766400047, -78.43457081599968)"
43001,CATTARAUGUS,RANDOLPH CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,49,15.60%,54,17.20%,103,32.80%,DISTRICT TOTAL,SCHOOL DISTRICT,18 MAIN ST,RANDOLPH,NY,14772,"18 MAIN ST
RANDOLPH, NY 14772
(42.164527258000476, -78.96624462699964)"
43001,CATTARAUGUS,RANDOLPH CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,24,14.20%,25,14.80%,49,29%,ELEMENTARY,SCHOOL DISTRICT,18 MAIN ST,RANDOLPH,NY,14772,"18 MAIN ST
RANDOLPH, NY 14772
(42.164527258000476, -78.96624462699964)"
43001,CATTARAUGUS,RANDOLPH CENTRAL SCHOOL DISTRICT,WESTERN NEW YORK,2012-2013,25,17.10%,29,19.90%,54,37%,MIDDLE/HIGH,SCHOOL DISTRICT,18 MAIN ST,RANDOLPH,NY,14772,"18 MAIN ST
RANDOLPH, NY 14772
(42.164527258000476, -78.96624462699964)"
43200,CATTARAUGUS,SALAMANCA CITY SCHOOLS,WESTERN NEW YORK,2012-2013,83,15.70%,111,20.90%,194,36.60%,DISTRICT TOTAL,SCHOOL DISTRICT,50 IROQUOIS DR,SALAMANCA,NY,14779,"50 IROQUOIS DR
SALAMANCA, NY 14779
(42.16060811400047, -78.73690998799964)"
43200,CATTARAUGUS,SALAMANCA CITY SCHOOLS,WESTERN NEW YORK,2012-2013,54,15.10%,75,21%,129,36.10%,ELEMENTARY,SCHOOL DISTRICT,50 IROQUOIS DR,SALAMANCA,NY,14779,"50 IROQUOIS DR
SALAMANCA, NY 14779
(42.16060811400047, -78.73690998799964)"
43200,CATTARAUGUS,SALAMANCA CITY SCHOOLS,WESTERN NEW YORK,2012-2013,29,17.20%,36,21.30%,65,38.50%,MIDDLE/HIGH,SCHOOL DISTRICT,50 IROQUOIS DR,SALAMANCA,NY,14779,"50 IROQUOIS DR
SALAMANCA, NY 14779
(42.16060811400047, -78.73690998799964)"
50301,CAYUGA,WEEDSPORT CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2013,44,15.80%,49,17.60%,93,33.50%,DISTRICT TOTAL,SCHOOL DISTRICT,2821 E BRUTUS ST,WEEDSPORT,NY,13166,"2821 E BRUTUS ST
WEEDSPORT, NY 13166
(43.04770452600047, -76.55604882299963)"
50301,CAYUGA,WEEDSPORT CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2013,25,14.90%,27,16.10%,52,31%,ELEMENTARY,SCHOOL DISTRICT,2821 E BRUTUS ST,WEEDSPORT,NY,13166,"2821 E BRUTUS ST
WEEDSPORT, NY 13166
(43.04770452600047, -76.55604882299963)"
50301,CAYUGA,WEEDSPORT CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2013,16,15%,22,20.60%,38,35.50%,MIDDLE/HIGH,SCHOOL DISTRICT,2821 E BRUTUS ST,WEEDSPORT,NY,13166,"2821 E BRUTUS ST
WEEDSPORT, NY 13166
(43.04770452600047, -76.55604882299963)"
50401,CAYUGA,CATO MERIDIAN CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2013,33,8.60%,49,12.80%,82,21.50%,DISTRICT TOTAL,SCHOOL DISTRICT,2851 NYS RT 370,CATO,NY,13033,"2851 NYS RT 370
CATO, NY 13033
(43.18320840500047, -76.56267833699962)"
50401,CAYUGA,CATO MERIDIAN CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2013,8,3.40%,23,9.80%,31,13.20%,ELEMENTARY,SCHOOL DISTRICT,2851 NYS RT 370,CATO,NY,13033,"2851 NYS RT 370
CATO, NY 13033
(43.18320840500047, -76.56267833699962)"
50401,CAYUGA,CATO MERIDIAN CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2013,22,15.80%,26,18.70%,48,34.50%,MIDDLE/HIGH,SCHOOL DISTRICT,2851 NYS RT 370,CATO,NY,13033,"2851 NYS RT 370
CATO, NY 13033
(43.18320840500047, -76.56267833699962)"
51301,CAYUGA,MORAVIA CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2013,51,22%,50,21.60%,101,43.50%,DISTRICT TOTAL,SCHOOL DISTRICT,68 S MAIN ST,MORAVIA,NY,13118,"68 S MAIN ST
MORAVIA, NY 13118
(42.70701232400046, -76.42085348599966)"
51301,CAYUGA,MORAVIA CENTRAL SCHOOL DISTRICT,CENTRAL NEW YORK,2012-2013,51,21.90%,50,21.50%,101,43.30%,ELEMENTARY,SCHOOL DISTRICT,68 S MAIN ST,MORAVIA,NY,13118,"68 S MAIN ST
MORAVIA, NY 13118
(42.70701232400046, -76.42085348599966)"
